aba,mat
alidziblanu ,belt
dodome,between
 titina ,between
lolo ,big
xe,bird
xevi ,bird
ɖu ,bite
yibɔ,black
υu ,blood
blɔ ,blue
tɔdziυu ,boat
agbalẽ ,book
atukpa ,bottle
aɖaka,box
ŋutsuvi,boy
subɔla ,boy
ŋe,break
gbã ,break
tɔdzisasra,bridge
ana ,bridge
tɔdzo,burn
 bidzo ,burn
dɔwɔƒe ,bureau
gake ,but
ƒle ,buy
yɔ ,call
aklo,canoe
υu ,car
atikpala,carpenter
 kapiŋta ,carpenter
dronu ,carry
le ,catch
simiti ,cement
titina,center
dodome ,center
zikpui ,chair
ɖɔli,change
ɖo dze,chat
ka aseŋu ,chat
fia,chief
 amegã ,chief
tia ,choose
gbedoxɔ ,church
siga ,cigarette
du gã ,city
sukuxɔme ,classroom
dzadze,clean
kɔkoe ,clean
kɔ,clea
tu ,close
avɔ ,cloth
awudodo,clothes
awu ,clothes
yovone ,coconut
va,come
ɖikokoe,comic
fa konyi ,complain
fa akɔna ,console
yi dzi ,continue
bli ,corn
xɔ asi ,cost
do ɣli ,cry
tso ,cut
ɖu ɣe,dance
yibɔ ,dark
vinyɔnuvi,daughter
ŋkeke,day
kuku,dead
eku ,dead
globo ,deep
goglo,deep
kuɖe… ŋu ,depend
tovovo ,differ
vovovo ,different
sesẽ,difficult
seŋu ,difficult
dɔlele ,disease
agba ,dish
ma nu ,distribute
wɔ ,do
atikewɔla,doctor
ɖɔkita ,doctor
dɔyɔla,doctor
avu,dog
υɔtru,door
ta nu ,draw
ƒuƒu ,dry
kudrɔℇ ,dream
atike,drug
dɔdeasi ,duty
ɖesiaɖe ,each
to,ear
kaba,early
anyigba ,earth
ɣedzeƒe,east
agbagbadzedze ,effort
azi ,egg
ƒuƒlu,empty
 gbɔlo ,empty
dedziƒo ,encourage
nuwuwu,end
futɔ,enemy
ketɔ ,enemy
kpɔdzidzɔ,enjoy
fiẽ,evening
fiẽsi ,evening
amesiame ,everybody
nusianu,everything
afisiafi ,everywhere
negbe ,except
tɔxɛ ,extra
ŋku ,eye
Eye ,And 
Yehowa ,Jehovah 
gblɔ ,said 
na ,to 
Abram ,Aʹbram 
Ʋu ,Go_out
le ,from 
mia ,your 
de ,land 
eye ,and 
nàdzo ,away 
le ,from 
wò ,your 
ƒometɔwo ,relatives 
kple ,and 
gbɔ ,from 
ƒeme ,house
fofowò ,father
ŋkume ,face
dze anyi,fall
ge ,fall
xɔŋkɔ ,famous
didi ,far
agble,farm
 kɔƒe ,farm
agbledela ,farmer
kaba,fast
ŋkekenyuie,festival
ɖewo,few
viɖe ,few
agble,field
dzo,fire
gbã,first
gbãtɔ ,first
seƒoƒo,flower
nuɖuɖu,food
ŋusẽ ,force
amedzro ,foreigner
ave,forest
ŋlɔ nube ,forget
gaflo ,fork
ŋgɔgbe ,forward
tɔ,fry
yɔyɔ,full
blibo ,full
fefe,game
ami dzraƒe ,gas station
abɔ,garden
agbo ,gate
ƒoƒu,gather
xɔ,get
nunana ,gift
nyɔnuvi ,girl
na,give
 tsɔna ,give
kɔpo ,glass
Mawu,god
sika ,gold
dziɖuɖu,government
dama,green
 gbemumu ,green
anyigba ,ground
azi ,groundnut
tsi,grow
amedzro,guest
kplɔ ame,guide
 kplɔla ,guide
te ,yam
ŋutiɖiɖi ,yellow
etsɔ,yesterday
haɖeo ,yet
nutome ,zone
nanekeo,zero
 gbɔlo ,zero
lala,wait
tɔte ,wait
nyɔ,wake up
zɔ̃ ,walk
kla ame ,warn
nya nu ,wash
tsi,water
woezɔ,welcome
 dodzaa ,welcome
vudo,well
keke,wide
 lolo ,wide
ya ,wind
eya ,wind
fesre,window
kple,with
dɔwɔwɔ,work
dɔ ,work
ŋlɔ̃  nu ,write
si abɔta ,vaccinate
lɔ̃lɔ̃nutɔ ,volunteer
abɔta ,vaccin 
vaseɖe ,until
sukukɔkɔ ,university
kplɔ, table
nuƒoƒo,talk
kɔkɔ,tall
dodokpɔ,test
wu,than
tete ,then
emegbe,then
da akpe ,thank
afima ,there
etɔlia,third
to me,through
 to dzi ,through
da ,throw
ale,thus
aɖu ,tooth
zɔ mɔ,travel
yi mɔdzi ,travel
ati,tree
kotoku ,sack
dedie,safe
fetu ,salary
gblɔ ,say
do ɣli ,scream
nɔƒe ,seat
anyinɔƒe ,seat
kpɔ,see
kla ,separate
ma ,share
kpui ,short
fia,show
 ɖe nu fia ,show
le dɔ ,sick
akpa ,side
ax ,side
dzesi ,sign
tso,since
nɔ anyi ,sit
blewu ,slow
suℇ ,small
afɔwui,sock
dziehe ,south
ƒo nu,speak
 gblɔnya ,speak
ƒu tsi ,swim
tsi dza,rain
tsidzadza ,rain
nyi,raise
de,reach
xlẽ ,read
le klalo,ready
sɔgbe,ready
xɔ ,receive
babiã ,red
dzẽ,red
amebubu,respect
  bu ame ,respect
gbɔdeme ,rest
dzudzɔ,rest
gbugbɔva ,return
trɔva ,return
ɖiɖi,ripe
ka ,rope
aŋe,rubber
ƒu  du,run
si du ,run
fianyɔnu,queen
fiasrɔ̃,queen
biabia ,question
kabakaba,quickly
ziɖoɖoe,quiet
fafe ,quiet
bla nu,pack
do agba ,pack
nubabla,package
veve,pain
fukpekpe ,pain
atawui ,pants
aɖiba,papaya
pepa ,paper
agbalẽ,paper
dzila ,parent
azã,party
nusi vayi,past
 xoxotɔ ,past
tu fe ,pay
xefe,pay
ŋutifafa,peace
ɣeyiyi,period
 ŋɔli ,period
  na mɔ ,permit
ɖe mɔ,permit
amewo,people
dukɔ ,people
ɖewohῖ,perhaps
ame ,person
nɔnɔmetata ,picture
akpa ,piece
kakɛ,piece
kɔziɔɛ ,pillow
suɖui,pillow
atɔtɔ ,pineapple
ɖɔ adudɔ ,piss
nɔƒe,place
 teƒe,place
 ƒa,plant
do,plant
abladzo ,plantain
agba ,plate
 agbeɖuɖu ,pleasure
dzidzɔ,pleasure
kpovitɔ,policeman
 dahe ,poor
hiãtɔ,poor
posu,post office
ze ,pot
ŋusẽ,power
 kalẽ ,power
kafu,praise
lɔ ,prefer
funɔ ,pregnant
dzra ɖo ,prepare
tatɔ,president
dukplɔla ,president
nyuie,pretty
dzanyi ,pretty
xe mɔ na,prevent
osɔfo,priest
fada,priest
viɖe ,profit
ŋgɔyiyi,progress
ŋugbedodo ,promise
do ŋugbe ,promise
fiakɔtee ,prove
tohehe,punishment
tameɖoɖo,purpose
ƒu,ocean
 atsiaƒu ,ocean
hiã ,offer
vevie,offer
 dɔwɔxɔ,office
dɔwɔƒe,office
 edziedzi,often
enuenu,often
xoxo ,old
 tsitsi ,old
zi ɖeka,once
 gbe ɖeka ,once
υu,open
susu ,opininion
tamesusu ,opininion
alo ,or
ɖoɖo ,order
bubu ,other
dukɔ,nation
dumevinyenye,nationality
dzɔdzɔme ,nature
gogo ,near
kloe,nearly
vevie,necessary
 hiã ,necessary
kɔ,neck
υuɖome ,neck
hahiã,need
hiã ,need
aƒelika,neighbor
 kpɔ o,never
gbeɖe o,never
yeye ,new
nyadzɔdzɔ,news
zã ,night
aƒa,noise
ɖeke o ,none
ŋdɔ ,noon
anyiehe ,north
ŋɔti ,nose
naneke o ,nothing
gbeƒãɖeɖe,notice
 kaklã ,notice
fifia,now
fifila ,now
xexleme,number
mɔ ,machine
atiketsi,malaria
ŋutsu,male
 atsu ,male
agbeli,manioc
  nuwɔna ,manner
nɔnɔme,manner
geɖewo ,many
dzesi,mark
 dzesinu ,mark
ɖewohῖ ,maybe
gɔmeɖeɖe,meaning
gbede ,mechanic
atike,medecine
takpekpe ,meeting
asitsala,merchant
akpe ,million
nukunu ,miracle
aƒuƒui,mirror
ɣleti,month
 dzinu ,month
ɣleti ,moon
mu ,mosquito
to,montain
nu,mouth
dɔwɔwɔ ,labor
agbagbadzedze ,labor
atrakpui ,ladder
anyigba ,land
  gbegbɔgblɔ,language
gbe,language
mamlɛtɔ,last
tsi megbe ,late
konu ,laugh
se ,law
sedede ,law
kplɔ ,lead
ŋgɔnɔla,leader
 kplɔla ,leader
srɔ nu ,learn
dzo ,leave
ata,leg
didime,length
agbalẽ ,letter
 leta ,letter
aυatso,lie
alakpa ,lie
agbenɔnɔ ,life
agbe,life
fli,line
ɖo to,listen
suℇ,little
 viɖe ,little
didi,long
kpɔ ,look
bu,lose
dzɔgbenyuie ,luck
 aklama ,luck
safui,key
wu,kill
agbadroƒe,kilometer
fia ,king
dzodoƒe ,kichen
nudaƒe ,kichen
klo,knee
hℇ ,knife
dze si ,know
nya nui ,know
dɔ,job
wɔ ɖeka kple ,join
fefe ,joke
mɔzɔzɔ ,journey
dzidzɔ ,joy
tikpo,jump
dzɔdzɔenyenye ,justice
susu,idea
  tamesusu ,idea
ne,if
nenye be ,if
enumake ,immediately
vevie,important
nudzodzoe ,insect
dzikpɔla,inspector
  nunɔla ,inspector
dɔwɔnu ,instrument
vivi ,interesting
 yɔ ame va ,invite
kpe ame,invite
gakpo ,iron
awuliga ,iron
nusi ma ame ,habit
eɖa,hair
fu ,hair
afã ,half
asi ,hand
dze ɖeka ,handsome
va me ,happen
dzɔ,happen
dzidzɔ,happiness
seŋu ,hard
sesẽ,hard
lãmese,health
sesie ,healthy
ɖo to ,hear
se,hear
dzi,heart
 kpekpe,heavy
 lolo ,heavy
kpe,heavy
kɔkɔme ,height
kɔkɔ ,high
mɔgã ,highway
ŋutinya,history
do ,hole
anukwaretɔ,honest
nyateƒetɔ ,honest
adela ,hunter
Nu Kae,What
wò,You
ale si,how
hawòtiwo,peers
gblɔ,say
lãmesẽ,health
Biblia,Bible
Timoteo,Timothy
be,that
dea,contribute
Ŋutsuvi,Young man
ŋkɔe,name
aɖe,some
nɔa ,stay
afɔte,active
fefewo,games
ɖokuidziɖuɖu,self-discipline
kpakple,and
srɔ̃a,learn
kpɔɖeŋu,illustration
vevi,important
fianu,teach
Duƒula,runners
ʋliʋli,competition
ƒu du,to run
gake,but
ɖeka,only
xɔa,receives
xɔ,to receive
dziɖuɖufetu,prize
dziɖuɖu,victory
Eye,then
Ame sia ame,everyone
hoʋiʋli,contest
ɖua eɖokui,self-control
nuwo,things
hawòti,peer
nu,thing
katã,all
Nufiame,point
Ebia,ask
sewo,rules
Ðetugbui,teenager
lɔ̃ ɖe,agrees
kpe ɖe,help
ale si,how
aduadu,cooperate
maɖo dze,communicate
amewo,others
kple,with
xɔlɔ̃wɔwɔ,friendships
xɔlɔ̃,friend
Fefe,game
amewo,people
ƒoa ƒu,together
dzidzɔdoname,having fun
xɔlɔ̃wo,friends
míefe fefe,playing
ƒomevi,type
Yehowa,Jehovah
doa ame kpɔna,examines
dzɔdzɔe,righteous
ame vɔ̃ɖi,wicked
eléa fu,hates
amesiame,anyone
ŋutasẽnuwɔwɔ,violence
lɔ̃a,loves
Ŋutasẽnuwo,violent
aɖewo,some
ɖetugbui,young woman
Kɔdada,boxing
taɖodzinu,point
woaƒo ame,to beat up
Kristotɔwo,Christians
modzakae,entertainment
Bu,think
eŋu kpɔ,about
adã,violent
ɖo ŋku,remember
Psalmo,Psalm
léa fu,disapprove
ewɔm,practices
ame,person
naneke,nothing
ɖokuibɔbɔ,humility
dzrehehe,contentiousness
ke boŋ,but
bubuwo,others
Filipitɔwo,Philippians
nyateƒe,truth
hatsotso,teams
hoʋiʋli,competition
maɖu-dzi-godoo,win-at-all-costs
nɔnɔme,attitude
Sɔhɛ,teenager
dɔ wɔm,to work
tso,on
kwasiɖa,week
nu vevi,injuries
ɖokuiwò,yourself
bia,ask
Eya ta,so
Ɣeyiɣi,time
vevie,important
wu,more
Ele be,You need
nàɖo,to set
nu vevitɔwo,priorities
mawusubɔsubɔ,spiritual things
gbãtɔ,first
nɔƒe,position
nɔƒe,place
nu siwo,things
aɖewo,Most
gaƒoƒo,hour
gaƒoƒo,time
geɖe,several
ekpɔm,watching
alo,or
nɔnye,my mom
nye,my
nɔ,mom
zãna,spend
zã,use
kɔ,pour
dze,salt
gbogbo,huge
nuɖuɖu,food
ame aɖe,someone
dziwòlawo,parents
aɖaŋu,advice
ku ɖe,about
ɖoa to ,listen
nɔvinyewo,siblings
nɔvinyewo,brothers
Ne,when
axe fe,pay
ame kae,who
Fefewɔlaawo,players
Fefewɔlaa,player
dɔwɔɖui,job
sukudɔdeasiwo,homework
míaƒe,our
etsɔme,future
mia,ourselves
dada,mom
agbe,life
me,in
dzidzɔ,happiness
dzidzɔ,happy
bliboa,overall
ɖu dzi,to win
dzɔa dzi,like
dzɔa dzi,love
AGBALẼDZRAƉOƑE,Library
Nufiafiawo,Teachings
Ŋuɖoɖowo,Answers
 Dɔwɔnuwo,Tools
Dzidzɔkpɔkpɔ,happiness
Ŋutifafa,peace
Srɔ̃ɖeɖe,marriage
Ƒomegbenɔnɔ,family
Sɔhɛwo,teenagers
Ðeviwo,children
XɔSe,faith
Ŋutinya,history
Dzɔdzɔmeŋutinunya ,science
Agbalẽwo ,books
Biblia,Bible
Magazinewo,magazines
Kpekpe,Meeting
Nusrɔ̃gbalẽ,workbook
Fiaɖuƒe ,kingdom
Subɔsubɔdɔ,Ministry
Hawo,Music
 Nyakakadɔwɔƒe,Broadcasting
Nyadzɔdzɔwo,News
Kpekpewo,Meetings
Ŋkuɖodzi,memorial
Takpekpewo,conventions
Dɔwɔnawo,activities
Nuteƒekpɔkpɔwo,Experience
 Tsaɖiɖi,tours
 Kaba,quick
EMENYAWO,contents
TOTOƉEME,outline
ɣetoɖoƒe,west
Ʋɔnudrɔ̃lawo,Judges
Ʋɔnudrɔ̃la,Judge
Fiawo,Kings
Konyifahawo,Lamentations
ŋutega,vision
eveliae,second
Eneliae,fourth
Adeliae,sixth
atɔ̃liae,fifth
etɔ̃liae,third
Lotamekpe,diamond
Ŋkeke,day
Mamlɛawo,last
Mamlɛ,last
Dzesi,sign
nɔnɔme,condition
nudzɔdzɔ,event
nuwuwu,end
xexea,world
nuwuɣi,end times
Nyagblɔɖi,prophecies
Aʋawɔwɔ,war
Dɔwuame,famine
Nyaɖeɖefia,revelation
Anyigbaʋuʋu,earthquakes
gãwo,Greats
Dɔvɔ̃wo,pestilences
Dɔvɔ̃wo,epidemics
dzidziɖedzi,increase
anyigba,earthquakes
Amewo,people
nɔnɔme,attitude
madakpewo,unthankful
mawɔnuteƒewo,disloyal
ameŋugblẽlawo,slanderers
ɖoɖo,agreement
wɔadãwo,fierce
yomemɔfialawo,betrayers
totrilawo,headstrong
gbagbãm,breakdown
alakpanuwɔwɔwo,hypocrisy
Subɔsubɔhawo,religious
gɔmesese,understanding
Gbeƒãɖeɖe,preaching
Fiaɖuƒe,kingdom
nyuia,good
kpeɖodzi,evidence
Ɛ̃,yes
ɣeyiɣikɔntabubuwo,chronology
dziƒo,heaven
amegbetɔwo,mankind
nuwɔna,actions
Xɔse,faith
Susuŋutinunyala,Brain Pathologist
NUFIALAGÃ,PROFESSOR
Yunivɛsiti,university
srɔ̃m,studied
susu,Brain 
ƒe,year
emegbe,later
trɔ,changed
susu,views
Nyɔ,awake
bia,asked
dɔa,work
ŋu,about
eƒe,his
Míeɖe kuku,please
Indiatɔe,indian
Hindutɔwo,hindu
koŋue,customs
evelia,second
etɔ̃e,three
Míenɔ,We lived
le,in
dzɔdzɔmeŋutinunya,science
geɖewo,many
nɔ,lived
Lãwo,animals
xɔ̃nyewo,friends
nye,I
míakpɔ,to see
asinudɔsrɔ̃suku,technical college
medo,graduating
meyi,i went
dɔlékuiwo,pathology
ahɔhɔ̃ ,brain
sukunusɔsrɔ̃wo,studies
wò,your
Ðe ,did
dzixɔsewo,beliefs
nyakpakpawo,mythology
kɔnuwo,traditions
subɔsubɔ,worship
nɔnɔmetɔtrɔ,evolution
nèxɔ,you accept
nufiafia,teaching
Azɔ hã,also
nufialawo,teachers
nufialagãwo,professors
na,gave
mí,us
sukuviawo,students
dzɔdzɔmeŋutinunyala,scientists
katã,all
ɣeyiɣiawo,times
ɣeyiɣi,time
agbe,life
Nu ka tae,why
wɔwɔme,anatomy
woƒe,their
aɖewo,some
esi,when
Ðasefoawo,witnesses
Ðasefo,witness
takpekpe,assembly
le,at
míaƒe,our
takpexɔ,hall
mede,I attended
dutanyanyuigblɔlawo,missionaries
dutanyanyuigblɔla,missionary
ŋuɖoɖowo,Answers
kpɔɖeŋu,example
Àte,can
tso,since
nyatakaka,information
tso,comes
siwo,that
godo,outside
ametia,body
ahɔhɔ̃menugbagbeviwo,neurons
míaƒe,our
biliɔn,billions
xexlẽme,number
sentimeta,centimeters
ʋɛ,few
seselelãmewo,emotions
Le,for
Fugboeŋutinunyala,embryologist
fugboewo,embryo
nusrɔ̃ƒe,research
Taiwantɔwo,Taiwan
Tsã,once
amedzɔtsolãme,evolution
ɖokuiwò,yourself
vie,little
Wodzim,I was born
Togbɔ be,although
nɔnɔmewɔwɔwo,images
Wɔla,Creator
aƒemelãwo,pets
Ɣemaɣi la,at the time
agblɔ,you tell
fia,taught
Mexɔ,I believed
woƒe,their
Taɖodzinu,motivation
Gbã,first
mesusuna,I reasoned
be,that
subɔna,worship
menya,I knew
asixɔxɔe,respected
Katolikotɔwo,Catholic
sɔlemeha,church
nunɔla,priest
mase,understand
egbe,he declined
Ke,so
aleke,how
esime,while
mekpɔtɔ,I was still
Chinagbe,chinese
ŋkuwo,eyes
kpɔm,saw me
ʋukɔe,embryo
hakpanya,poetic
mɔfiame,instructions
vavã,true
numekuku,research
Taɖodzinu,goal
nyateƒea,truth
mɔ̃ɖaŋudɔwɔlawo,engineers
bliboa,process
Lãmenugbagbeviawo,cells
gaƒoƒo,hour
Mɔ̃ɖaŋudɔwɔla,engineer
drɔ̃e,dreams
lɔlɔ̃ ,love
Yesu,Jesus
Kristo,Christ
nusrɔ̃lawo,disciples
Ameŋkumemakpɔmakpɔ,impartiality
dekɔnu,culture
ŋutigbalẽ,skin
Ayiku,Kidney
Ayikudɔdala,Kidney Specialist
ayikudɔ,kidney disease
ɖevimenɔɣi,childhood
asieke,nine
míaƒe,My
Dzinyelawo,parents
ɖɔktasuku,medical school
dɔnɔwo,patients
ʋumenugbagbevi, blood cells
ƒu,bones
ame aɖeke,nobody
ŋɔdzinuwɔlawo,terrorist
zazɛ̃nyahelawo,extremism
Mawusubɔla,religious
afɔku,danger
ŋutifafamewo,peaceful
Ðewohĩ,perhaps
xexlẽ,reading
ɖɔkta,doctor
Ao,No
koe,only
ɔksidzin,oxygen
ʋu,blood
kɔkɔ,high
nuku,wonder
ewo,ten
hafi,before
wɔnuku,elegant
vovo,differnt
Aɖaŋuɖoɖo,advice
amegbetɔwo,human
ŋutɔŋutɔe,real
Esi,since
agbalẽwo,publications
numekugbalẽwo,encyclopedias
nyabiase,questions
ŋutinya,history
Mlɔeba,finally
ɣeyiɣi,time
dometɔ,among
Artaxsasta,Artaxerxes
abe,as
Kɔmpiutadziɖoɖoŋlɔla,Software Designer
Atɔmikŋusẽ,Atomic Energy
gogo,near
Suku,Institute
dɔwɔɖui,career
mawudzimaxɔsela,atheist
fifia,now
Nutoa,province
dukɔa,country
mɔdodoɖaŋunyala,civil engineer
ketekemɔ,railway
gbedada,wilderness
gɔmedze,elementary
kɔƒedu,village
ahedada,poverty
Nutoa,district
nuɖuɖu,food
miaƒe,your
dunyahehe,politics
Buddhatɔe,Buddhist
akɔntabubu,mathematics
ŋgɔnɔla,leader
ɖaseɖigbalẽ,degree
Amerikatɔ ,american
medzudzɔ,stopped
nyaa,subject
dzɔdzɔmeŋusẽŋununya,physics
akɔntanyala,mathematician
amenyinu,protein
naneke,anything
kpeɖodziawo,facts
mɔfiamewo,principles
Vivivi,progressively
xexea,nature
Fifia,currently
kɔmpiutadziɖoɖowo,software
ŋutete,ability
gbeɖiɖiwo,speech
sea,understand
hoowɔwɔ,noise
deŋgɔwo,complex
kɔmpiuta,computers
gbegbɔgblɔ,accents
Dzɔdzɔmeŋusẽŋununyala,physicist
dzɔdzɔmeŋusẽ,physics
mɔ̃ɖaŋununya,technology
sɔhɛme,youth
Tɔsisia,river
mɔlu,rice
tɔmelã,fish
anyigba,land
koklovi,chicken
koklozi,egg
ƒometɔwo,family
agbledede,farmwork
xɔtuɖaŋunyala,architect
tsitsitɔ,eldest
Nublanuitɔe,sadly
ku,died
kuna,died
wɔwɔme,structure
atɔm,atom
kekeli,light
dusisi,speed
keklẽŋusẽ,radiation
xexea,universe
Aleke,how
nyabiaseawo,questions
dzɔdzɔmenuwo,nature
tsitotsito,carefully
dzɔdzɔmeŋusẽ,thermodynamics
ɖoɖo,order
ŋusẽ,energy
gbeɖiɖixɔŋusẽwo,waves
Atiwo,plants
hiã,need
nudogoɖenunu,coincidence
Ʋɛʋɛʋɛ,gradually
atikewɔwɔ,pharmaceutical
Atitsogaʋa,crusades
Ŋutasẽʋɔnudɔdrɔ̃ ,inquisition
nɔnɔmetɔtrɔ,evolution
nusuekpɔmɔ̃m,microscope
fefenu ,toy
vevitɔ,favorite
nudzodzoevi,insects
kpakpaluʋui,butterflies
moya,strange
wɔ,seemed
ŋutɔ,really
bometsitsie,ridiculous
nukutɔe,surprise
fuflugba,delusion
xɔŋkɔ,eminent
lãmenugbagbevi,cell
yamenutowo,space
nyitsɔ,recently
gɔmedzedze,beginning
atikewo,medications
aɖinuwo,toxins
gbagbewo,living
wuwlui,Microscopic
aŋenuwo,plastic
tigi,tight
kpeƒewo,junctions
nuku,amazing
karbɔn-ya,carbon
ʋumesukli,glucose
kansadɔ,cancer
Protestanttɔ,Protestant
ŋgɔyiyi,advance
ɖedzesi,amazing
Mawunyakpukpui,scripture
kpeɖodzi,theory
dɔlélenutsiŋutete,immune system
Ŋutilãtakpɔnu,mechanism
hatsotso,group
aduadu,complementary
dɔlékuiwo,microbes
dzitodzito,breath
 aɖiɖɔtoe,urogenital
tututue,absolutely
ŋutilãtakpɔnuwo,immune
Nuxaxa,stress
Nugbagbesueŋutinunyala,microbiologist
kpeɖeŋutɔ,assistant
ha,pigs
amagbewo,vegetables
sesẽ,hard
Mawusubɔlawoe,religious
afã,half
mɔ̃ ,machines
Lãmetsiŋutinunyalagã,biochemistry
dɔwɔhatiwo,colleagues
ɖokuinye,myself
dahewo,poors
Lãmetsiŋutinunyala,biochemist
afɔkpawɔla,cobbler
Seƒoƒowo,flowers
Kura,No
fukpekpe,suffering
ku,death
ƒunukpeƒetetedɔ,rheumatoid arthritis
 kansa,cancer
bɔbɔe,easy
nunya,wisdom
 nunya,knowledge
Mlɔeba,eventually
dzɔtsoƒe,origin
kpekpeawo,Meetings
Aŋgbawo,leaves
anyigba,planet
sɔsrɔ̃ ,study
veviedodotɔe,careful
Yesaya,Isaiah
eɖiɖi,burial
Nukutɔe,remarkably
kesinɔtɔwo,wealthy
mɔfiamewo,guides
fakɔnamewo,comforting
akɔnta,statistics
akɔntasɔsrɔ̃ ,mathematics
Saŋkuƒola,pianist
haƒola,musician
saŋkuƒolawo,pianists
amegbetɔwo,humans
Haƒoha,orchestra
Saŋku,piano
Kuxi,challenge
asibidewo,fingers
alɔtsinuwo,wrists
ʋaʋã,movement
kɔtɛe,obvious
gbegbɔgblɔ,language
fũu,full
 gɔmedzedze,dawn
Paradiso,paradise
kpeɖodzi,evidence
tegbee,forever
Egbea,today
dzidzɔ,joy
kakaɖedzi,confidence
tufafa,tenderness
dzɔdzɔme,naturally
ɖiɖi,rhytm
Numeɖeɖe,explanation
suesuesue,smaller
gbedeasi,message
ameƒomevi,mankind
edzivɔwo,over
titri,thick
Numekulaawo,researchers
Nufuwo,Whiskers
Dadi,cat
Dɔ,function
vevietɔ,particularly
Lãmeka,nerve
lãkusi,tissues
lãmekaawo,nerves
zã,dark
Nuʋeʋẽ,smell
Avu,dog
ŋɔti,nose
avuwo,dogs
bɔmbwo,explosives
gativi,teaspoon
fa,wet
Yatoƒe,airways
elektrɔnikmɔ̃ ,electronic
SƆWO,horses
kpeƒetsiaka,muscle-tendon
afɔtiwo,legs
ƒoƒom,vibrate
kpeƒetsiakawo,tendon
